songname	nword	word	movie	startTime	endTime	nwords
survive.lrc	1	at	ttt_subtitles.srt	5713	5717	1
survive.lrc	2	first	fotr_subtitles.srt	2005	2009	1
survive.lrc	3	i	rotk_subtitles.srt	1507	1511	1
survive.lrc	4	was	ttt_subtitles.srt	7537	7541	1
survive.lrc	5	afraid	fotr_subtitles.srt	9077	9080	1
survive.lrc	6	i	rotk_subtitles.srt	3856	3859	1
survive.lrc	7	was	fotr_subtitles.srt	1923	1928	1
NA	8	trumpets	fotr_subtitles.srt	8247	8251	1
NA	8	ring	fotr_subtitles.srt	108	111	1
NA	8	fried	ttt_subtitles.srt	4643	4650	1
survive.lrc	9	kept	fotr_subtitles.srt	9748	9752	1
survive.lrc	10	thinking	fotr_subtitles.srt	6561	6565	1
